S22 dB20 X,S22 dB20 Y
76999999999.99998,-34.91366790049766
77099999999.99998,-35.27248988139807
77199999999.99998,-35.63769957274675
77299999999.99998,-36.01039719876181
77399999999.99998,-36.40029285043507
77499999999.99998,-36.8310524632314
77599999999.99998,-37.24126858461405
77699999999.99998,-37.61543810784799
77799999999.99998,-37.97978398518595
77899999999.99998,-38.33618431229103
77999999999.99998,-38.67846940642577
78099999999.99998,-38.99913394796521
78199999999.99998,-39.29011991808346
78299999999.99998,-39.54306549119893
78399999999.99998,-39.74973063521255
78499999999.99998,-39.90263294003046
78599999999.99998,-39.99579978657766
78699999999.99998,-40.0254806429528
78799999999.99998,-39.99064088140916
78899999999.99998,-39.89309699831417
78999999999.99998,-39.60161121459831
79099999999.99998,-39.52954164768745
79199999999.99998,-39.27755412139007
79299999999.99998,-38.98941766088378
79399999999.99998,-38.67306332630127
79499999999.99998,-38.33580286218923
79599999999.99998,-37.98407436368295
79699999999.99998,-37.62335209584874
79799999999.99998,-37.25817627961143
79899999999.99998,-36.89226566655589
79999999999.99998,-36.52869498036347
80099999999.99998,-36.17015159585036
80199999999.99998,-35.81932560966008
80299999999.99998,-35.47930398738264
80399999999.99998,-35.15057479699326
80499999999.99998,-34.80521269129732
80599999999.99998,-34.44515602302249
80699999999.99998,-34.10700260289025
80799999999.99998,-33.78972761948864
80899999999.99998,-33.48430683485112
80999999999.99998,-33.18788027400466
81099999999.99998,-32.89950786760615
81199999999.99998,-32.61876117829767
81299999999.99998,-32.34535304315018
81399999999.99998,-32.07903534293787
81499999999.99998,-31.81956998961068
81599999999.99998,-31.56672153022983
81699999999.99998,-31.32025634534399
81799999999.99998,-31.07994374877236
81899999999.99998,-30.8455575985084
81999999999.99998,-30.62185596716359
