V/V /PORT1; pxf dB20(V/V) (harmonic=1) X,V/V /PORT1; pxf dB20(V/V) (harmonic=1) Y
78500000000,-12.64411931552203
78600000000,-12.66893743997663
78700000000,-12.69378950642836
78800000000,-12.7186751263504
78900000000,-12.74359391240912
79000000000,-12.76854547891956
79100000000,-12.7935294414266
79200000000,-12.81854541694212
79300000000,-12.84359302392427
79400000000,-12.86867188233999
79500000000,-12.89378166670311
79600000000,-12.91892183934928
79700000000,-12.94409218593635
79800000000,-12.96929227821464
79900000000,-12.99452174363958
80000000000,-13.01978021132593
80100000000,-13.04506731149053
80200000000,-13.07038267631698
80300000000,-13.0957259394477
80400000000,-13.12109673611878
80500000000,-13.14649470317268
80600000000,-13.17191947907124
80700000000,-13.19737070391152
80800000000,-13.22284801945365
80900000000,-13.24835106925304
81000000000,-13.27387956147417
81100000000,-13.29943295056364
81200000000,-13.32501107929413
81300000000,-13.35061353200233
81400000000,-13.37623996063236
81500000000,-13.40189001869599
81600000000,-13.42756336139642
81700000000,-13.4532596456529
81800000000,-13.47897853003576
81900000000,-13.50471967507016
82000000000,-13.53048274281692
82100000000,-13.5562673971548
82200000000,-13.58207330372047
82300000000,-13.6079001299176
82400000000,-13.63374754496511
82500000000,-13.65961529056141
82600000000,-13.68550282637915
82700000000,-13.71141004073784
82800000000,-13.73733653793818
82900000000,-13.76328199677363
83000000000,-13.78924609688639
83100000000,-13.81522851998321
83200000000,-13.84122894957614
83300000000,-13.86724707098756
83400000000,-13.89328257135423
83500000000,-13.91933513963092
