V/V /PORT1; pxf dB20(V/V) (harmonic=-1) X,V/V /PORT1; pxf dB20(V/V) (harmonic=-1) Y
75500000000,-12.05446170879593
75600000000,-12.0780598285004
75700000000,-12.10170534694858
75800000000,-12.12539786139422
75900000000,-12.14913696935145
76000000000,-12.17292226821087
76100000000,-12.19675335569047
76200000000,-12.22062982965908
76300000000,-12.24455128820502
76400000000,-12.26851732962172
76500000000,-12.29252750760789
76600000000,-12.31658155713912
76700000000,-12.34067894075523
76800000000,-12.36481930415464
76900000000,-12.38900224743348
77000000000,-12.41322737103045
77100000000,-12.43749427631419
77200000000,-12.46180256477912
77300000000,-12.48615183858544
77400000000,-12.51054170046917
77500000000,-12.53497175377058
77600000000,-12.55944160246208
77700000000,-12.58395085117259
77800000000,-12.6084991051998
77900000000,-12.63308597042366
78000000000,-12.65771100268698
78100000000,-12.68237396513565
78200000000,-12.7070743085513
78300000000,-12.73181169555438
78400000000,-12.75658573603321
78500000000,-12.78139604088676
78600000000,-12.80624222194028
78700000000,-12.83112389195447
78800000000,-12.85604066472344
78900000000,-12.88099215479997
79000000000,-12.90597797794924
79100000000,-12.93099775089423
79200000000,-12.95605109140567
79300000000,-12.98113761832125
79400000000,-13.00625695152267
79500000000,-13.03140865124457
79600000000,-13.05659252298959
79700000000,-13.08180800596799
79800000000,-13.1070547868424
79900000000,-13.13233249062598
80000000000,-13.15764074451121
80100000000,-13.1829791766659
80200000000,-13.20834741651654
80300000000,-13.23374509476528
80400000000,-13.25917184340766
80500000000,-13.28462729574974
